RF00001	5S_rRNA
RF00002	5_8S_rRNA
RF00003	U1
RF00004	U2
RF00005	tRNA
RF00006	Vault
RF00007	U12
RF00008	Hammerhead_3
RF00009	RNaseP_nuc
RF00010	RNaseP_bact_a
RF00011	RNaseP_bact_b
RF00012	U3
RF00013	6S
RF00014	DsrA
RF00015	U4
RF00016	SNORD14
RF00017	Metazoa_SRP
RF00018	CsrB
RF00019	Y_RNA
RF00020	U5
RF00021	Spot_42
RF00022	GcvB
RF00023	tmRNA
RF00024	Telomerase-vert
RF00025	Telomerase-cil
RF00026	U6
RF00027	let-7
RF00028	Intron_gpI
RF00029	Intron_gpII
RF00030	RNase_MRP
RF00031	SECIS_1
RF00032	Histone3
RF00033	MicF
RF00034	RprA
RF00035	OxyS
RF00036	RRE
RF00037	IRE
RF00038	PrfA
RF00039	DicF
RF00040	rne5
RF00041	Entero_OriR
RF00042	CopA
RF00043	Plasmid_R1162
RF00044	Phage_pRNA
RF00045	SNORA73
RF00046	snoR30
RF00047	mir-2
RF00048	Entero_CRE
RF00049	SNORD36
RF00050	FMN
RF00051	mir-17
RF00052	lin-4
RF00053	mir-7
RF00054	SNORD25
RF00055	SNORD96
RF00056	SNORA71
RF00057	RyhB
RF00058	HgcF
RF00059	TPP
RF00060	HgcE
RF00061	IRES_HCV
RF00062	HgcC
RF00063	SscA
RF00064	HgcG
RF00065	snoR9
RF00066	U7
RF00067	SNORD15
RF00068	SNORD21
RF00069	SNORD24
RF00070	SNORD29
RF00071	SNORD73
RF00072	SNORA75
RF00073	mir-156
RF00074	mir-29
RF00075	mir-166
RF00076	mir-181
RF00077	SraB
RF00078	SraD
RF00079	OmrA-B
RF00080	yybP-ykoY
RF00081	SraH
RF00082	SraG
RF00083	GlmZ_SraJ
RF00084	CsrC
RF00085	SNORD28
RF00086	SNORD27
RF00087	SNORD26
RF00088	SNORD30
RF00089	SNORD31
RF00090	SNORA74
RF00091	SNORA62
RF00092	SNORA63
RF00093	SNORD18
RF00094	HDV_ribozyme
RF00095	snoPyro_CD
RF00096	U8
RF00097	snoR71
RF00099	SNORD22
RF00100	7SK
RF00101	SraC_RyeA
RF00102	VA
RF00103	mir-1
RF00104	mir-10
RF00105	SNORD115
RF00106	RNAI
RF00107	FinP
RF00108	SNORD116
RF00109	Vimentin3
RF00110	RybB
RF00111	RyeB
RF00112	CyaR_RyeE
RF00113	QUAD
RF00114	S15
RF00115	IS061
RF00116	C0465
RF00117	C0719
RF00118	rydB
RF00119	C0299
RF00121	MicC
RF00122	GadY
RF00124	IS102
RF00125	IS128
RF00126	ryfA
RF00127	t44
RF00128	GlmY_tke1
RF00129	mir-103
RF00130	mir-192
RF00131	mir-30
RF00132	snoR24
RF00133	SNORD33
RF00134	snoZ196
RF00135	snoZ223
RF00136	SNORD81
RF00137	SNORD83
RF00138	SNORD16
RF00139	SNORA72
RF00140	Alpha_RBS
RF00142	snoZ118
RF00143	mir-6
RF00144	mir-199
RF00145	snoZ105
RF00147	SNORD34
RF00149	snoZ103
RF00150	SNORD42
RF00151	SNORD58
RF00152	SNORD79
RF00153	SNORD62
RF00154	SNORD63
RF00155	SNORA66
RF00156	SNORA70
RF00157	SNORD39
RF00158	SNORD82
RF00159	snoZ168
RF00160	snoZ159
RF00161	nos_TCE
RF00162	SAM
RF00163	Hammerhead_1
RF00164	s2m
RF00165	Corona_pk3
RF00166	PrrB_RsmZ
RF00167	Purine
RF00168	Lysine
RF00169	Bacteria_small_SRP
RF00170	msr
RF00171	Tombus_5
RF00172	CAESAR
RF00173	Hairpin
RF00174	Cobalamin
RF00175	HIV-1_DIS
RF00176	Tombus_3_IV
RF00177	SSU_rRNA_bacteria
RF00178	mir-24
RF00179	GAIT
RF00180	REN-SRE
RF00181	SNORD113
RF00182	Corona_package
RF00183	G-CSF_SLDE
RF00184	PVX_3
RF00185	Flavi_CRE
RF00186	SNORD101
RF00187	SNORD102
RF00188	SNORD103
RF00189	SNORD95
RF00190	SNORA16
RF00191	SNORA57
RF00192	BLV_package
RF00193	CTV_rep_sig
RF00194	Rubella_3
RF00195	RsmY
RF00196	AMV_RNA1_SL
RF00198	SL1
RF00199	SL2
RF00200	snoZ199
RF00201	snoZ278
RF00202	snoR66
RF00203	snoR160
RF00204	snoR12
RF00205	snoR41
RF00206	U54
RF00207	K10_TLS
RF00208	snoR72
RF00209	IRES_Pesti
RF00210	IRES_Aptho
RF00211	SNORD35
RF00212	SNORD38
RF00213	snoR38
RF00214	Retro_dr1
RF00215	Tombus_3_III
RF00216	IRES_c-myc
RF00217	SNORD20
RF00218	SNORD46
RF00220	Rhino_CRE
RF00221	SNORD43
RF00222	IRES_Bag1
RF00223	IRES_Bip
RF00224	IRES_FGF2
RF00225	IRES_Tobamo
RF00226	IRES_n-myc
RF00227	FIE3
RF00228	IRES_HepA
RF00229	IRES_Picorna
RF00230	T-box
RF00231	SCARNA13
RF00232	Spi-1
RF00233	Tymo_tRNA-like
RF00234	glmS
RF00235	Plasmid_RNAIII
RF00236	ctRNA_pGA1
RF00237	mir-9
RF00238	ctRNA_pND324
RF00239	mir-124
RF00240	RNA-OUT
RF00241	mir-8
RF00242	ctRNA_pT181
RF00243	traJ_5
RF00244	mir-26
RF00245	mir-19
RF00246	mir-135
RF00247	mir-160
RF00248	mir-148
RF00249	mir-46
RF00250	mir-TAR
RF00251	mir-219
RF00252	Alfamo_CPB
RF00253	mir-101
RF00254	mir-16
RF00255	mir-218
RF00256	mir-196
