ID	Mean	SD
PC923	-0.000	0.662
PC922	0.000	0.663
PC921	0.000	0.663
PC920	-0.000	0.664
PC927	-0.000	0.662
PC926	0.000	0.662
PC925	-0.000	0.662
PC924	0.000	0.662
PC929	0.000	0.661
PC928	0.000	0.661
PC857	0.000	0.681
PC856	-0.000	0.681
PC855	0.000	0.681
PC854	-0.000	0.681
PC853	0.000	0.682
PC852	-0.000	0.682
PC851	0.000	0.682
PC850	-0.000	0.682
PC859	0.000	0.680
PC858	0.000	0.680
PC1859	0.000	0.390
PC1858	0.000	0.391
PC1851	-0.000	0.394
PC1850	-0.000	0.394
PC1853	-0.000	0.393
PC1852	0.000	0.393
PC1855	-0.000	0.392
PC1854	0.000	0.393
PC1857	0.000	0.391
PC1856	0.000	0.391
PC679	0.000	0.730
PC678	-0.000	0.731
PC673	-0.000	0.732
PC672	-0.000	0.732
PC671	0.000	0.733
PC670	0.000	0.733
PC677	0.000	0.731
PC676	0.000	0.731
PC675	0.000	0.731
PC674	-0.000	0.732
PC1792	-0.000	0.419
PC1793	0.000	0.419
PC1790	0.000	0.420
PC581	0.000	0.761
PC580	0.000	0.761
PC583	-0.000	0.760
PC582	-0.000	0.761
PC585	-0.000	0.760
PC584	-0.000	0.760
PC587	0.000	0.759
PC586	0.000	0.759
PC589	-0.000	0.758
PC588	-0.000	0.758
PC1245	-0.000	0.580
PC1246	0.000	0.579
PC1247	-0.000	0.579
PC157	0.000	0.962
PC299	0.000	0.869
PC298	-0.000	0.870
PC1757	0.000	0.432
PC295	-0.000	0.871
PC294	0.000	0.872
PC297	0.000	0.870
PC296	-0.000	0.871
PC291	0.000	0.873
PC290	-0.000	0.873
PC293	-0.000	0.872
PC292	0.000	0.873
PC453	-0.000	0.805
PC452	-0.000	0.805
PC451	0.000	0.805
PC450	-0.000	0.806
PC457	-0.000	0.803
PC456	-0.000	0.804
PC455	0.000	0.804
PC454	0.000	0.804
PC459	-0.000	0.802
PC458	-0.000	0.803
PC45	0.000	1.292
PC44	0.000	1.293
PC394	0.000	0.828
PC49	-0.000	1.256
PC395	-0.000	0.827
PC48	-0.000	1.259
PC398	0.000	0.826
PC399	0.000	0.826
PC1738	-0.000	0.439
PC1739	-0.000	0.439
PC1734	0.000	0.441
PC1735	-0.000	0.441
PC1736	0.000	0.440
PC1737	0.000	0.439
PC1730	0.000	0.442
PC1731	0.000	0.442
PC1732	-0.000	0.442
PC1733	-0.000	0.441
PC1284	-0.000	0.569
PC1285	0.000	0.569
PC1286	-0.000	0.569
PC1287	0.000	0.569
PC1280	-0.000	0.571
PC1281	-0.000	0.570
PC1282	0.000	0.570
PC1283	0.000	0.569
PC1288	-0.000	0.568
PC1289	-0.000	0.568
PC118	0.000	1.010
PC119	0.000	1.008
PC116	-0.000	1.015
PC117	0.000	1.012
PC114	0.000	1.018
PC115	-0.000	1.017
PC112	0.000	1.020
PC113	-0.000	1.018
PC110	-0.000	1.025
PC111	-0.000	1.023
PC1608	-0.000	0.481
PC1609	-0.000	0.481
PC1600	-0.000	0.484
PC1601	-0.000	0.483
PC1602	0.000	0.483
PC1603	-0.000	0.483
PC1604	-0.000	0.483
PC1605	0.000	0.482
PC1606	-0.000	0.482
PC1607	0.000	0.482
PC1460	-0.000	0.523
PC1461	0.000	0.523
PC1462	0.000	0.523
PC1463	0.000	0.522
PC1464	-0.000	0.522
PC1465	-0.000	0.522
PC1466	-0.000	0.521
PC1467	0.000	0.521
PC1468	0.000	0.521
PC1469	0.000	0.521
PC1190	0.000	0.593
PC1191	0.000	0.593
PC1192	0.000	0.593
PC1193	-0.000	0.593
PC1194	0.000	0.592
PC1195	-0.000	0.592
PC1196	0.000	0.592
PC1197	0.000	0.592
PC1198	0.000	0.591
PC1199	0.000	0.591
PC1042	0.000	0.632
PC1043	0.000	0.631
PC1040	0.000	0.632
PC1041	-0.000	0.632
PC1046	0.000	0.630
PC1047	0.000	0.630
PC1044	0.000	0.631
PC1045	-0.000	0.631
PC1048	0.000	0.630
PC1049	0.000	0.630
PC1518	0.000	0.507
PC1519	0.000	0.507
PC1016	0.000	0.638
PC938	-0.000	0.659
PC939	-0.000	0.658
PC934	-0.000	0.660
PC935	-0.000	0.659
PC936	0.000	0.659
PC937	0.000	0.659
PC930	0.000	0.661
PC931	-0.000	0.660
PC932	0.000	0.660
PC933	0.000	0.660
PC1013	0.000	0.639
PC1012	-0.000	0.639
PC840	0.000	0.685
PC841	0.000	0.685
PC842	-0.000	0.684
PC843	-0.000	0.684
PC844	-0.000	0.684
PC845	-0.000	0.684
PC846	0.000	0.683
