ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5593	0.5236	0.4909	0.4689	0.4303	24845
3	0.5991	0.5687	0.5383	0.5194	0.4886	8355
4	0.6397	0.6100	0.5811	0.5632	0.5313	6121
5	0.6598	0.6313	0.6052	0.5890	0.5569	3417
6	0.6785	0.6522	0.6261	0.6103	0.5789	2554
7	0.6933	0.6683	0.6425	0.6271	0.5905	1769
8	0.7065	0.6788	0.6563	0.6400	0.6002	1392
9	0.7188	0.6920	0.6685	0.6496	0.6177	1094
10	0.7263	0.7010	0.6760	0.6633	0.6280	882
11	0.7347	0.7089	0.6841	0.6708	0.6404	737
12	0.7438	0.7217	0.6989	0.6818	0.6439	632
13	0.7501	0.7258	0.7018	0.6886	0.6588	553
14	0.7534	0.7302	0.7034	0.6820	0.6557	452
15	0.7627	0.7407	0.7160	0.6992	0.6853	391
16	0.7625	0.7392	0.7110	0.6928	0.6458	349
17	0.7692	0.7467	0.7245	0.7039	0.6745	364
18	0.7719	0.7498	0.7264	0.7077	0.6911	296
19	0.7788	0.7579	0.7297	0.7218	0.7032	243
20	0.7776	0.7575	0.7316	0.7107	0.6678	216
21	0.7839	0.7635	0.7453	0.7336	0.7002	222
22	0.7888	0.7664	0.7443	0.7325	0.6929	192
23	0.7872	0.7674	0.7433	0.7315	0.7171	149
24	0.7887	0.7687	0.7461	0.7216	0.6779	129
25	0.7959	0.7759	0.7504	0.7361	0.6814	166
26	0.7981	0.7793	0.7562	0.7405	0.6921	136
27	0.7986	0.7736	0.7520	0.7337	0.7276	134
28	0.8027	0.7849	0.7630	0.7460	0.7129	127
29	0.8042	0.7772	0.7549	0.7451	0.7246	106
30	0.8086	0.7869	0.7608	0.7529	0.7150	113
31	0.8083	0.7841	0.7690	0.7576	0.7263	81
32	0.8158	0.7997	0.7724	0.7589	0.7199	80
33	0.8071	0.7921	0.7621	0.7449	0.7136	81
34	0.8159	0.7978	0.7813	0.7661	0.7528	87
35	0.8183	0.8010	0.7798	0.7696	0.7314	81
36	0.8169	0.7944	0.7826	0.7655	0.7373	73
37	0.8067	0.7857	0.7575	0.7481	0.7270	66
38	0.8224	0.8054	0.7837	0.7787	0.7458	56
39	0.8260	0.8010	0.7810	0.7696	0.7517	78
40	0.8185	0.7969	0.7752	0.7695	0.7612	56
41	0.8228	0.8021	0.7738	0.7629	0.7413	58
42	0.8285	0.8157	0.8000	0.7676	0.7454	51
43	0.8303	0.8124	0.7876	0.7739	0.7545	50
