RfamID	CMname	Description	NumHairpins	Categories
RF00001	5S_rRNA	5S_ribosomal_RNA	2	Gene;rRNA;
RF00002	5_8S_rRNA	5.8S_ribosomal_RNA	4	Gene;rRNA;
RF00003	U1	U1_spliceosomal_RNA	4	Gene;snRNA;splicing;
RF00004	U2	U2_spliceosomal_RNA	5	Gene;snRNA;splicing;
RF00005	tRNA	tRNA	3	Gene;tRNA;
RF00006	Vault	Vault_RNA	1	Gene;
RF00007	U12	U12_minor_spliceosomal_RNA	4	Gene;snRNA;splicing;
RF00008	Hammerhead_3	Hammerhead_ribozyme_(type_III)	2	Gene;ribozyme;
RF00009	RNaseP_nuc	Nuclear_RNase_P	5	Gene;ribozyme;
RF00010	RNaseP_bact_a	Bacterial_RNase_P_class_A	8	Gene;ribozyme;
RF00011	RNaseP_bact_b	Bacterial_RNase_P_class_B	10	Gene;ribozyme;
RF00012	U3	Small_nucleolar_RNA_U3	4	Gene;snRNA;snoRNA;CD-box;
RF00013	6S	6S_/_SsrS_RNA	1	Gene;
RF00014	DsrA	DsrA_RNA	3	Gene;sRNA;
RF00015	U4	U4_spliceosomal_RNA	4	Gene;snRNA;splicing;
RF00016	SNORD14	Small_nucleolar_RNA_SNORD14	1	Gene;snRNA;snoRNA;CD-box;
RF00017	Metazoa_SRP	Metazoan_signal_recognition_particle_RNA	6	Gene;
RF00018	CsrB	CsrB/RsmB_RNA_family	12	Gene;sRNA;
RF00019	Y_RNA	Y_RNA	1	Gene;
RF00020	U5	U5_spliceosomal_RNA	2	Gene;snRNA;splicing;
RF00021	Spot_42	Spot_42_RNA	3	Gene;sRNA;
RF00022	GcvB	GcvB_RNA	5	Gene;
RF00023	tmRNA	transfer-messenger_RNA	14	Gene;
RF00024	Telomerase-vert	Vertebrate_telomerase_RNA	4	Gene;
RF00025	Telomerase-cil	Ciliate_telomerase_RNA	3	Gene;
RF00026	U6	U6_spliceosomal_RNA	1	Gene;snRNA;splicing;
RF00027	let-7	let-7_microRNA_precursor	1	Gene;miRNA;
RF00028	Intron_gpI	Group_I_catalytic_intron	6	Intron;
RF00029	Intron_gpII	Group_II_catalytic_intron	2	Intron;
RF00030	RNase_MRP	RNase_MRP	5	Gene;ribozyme;
RF00031	SECIS_1	Selenocysteine_insertion_sequence_1	1	Cis-reg;
RF00032	Histone3	Histone_3'_UTR_stem-loop	1	Cis-reg;
RF00033	MicF	MicF_RNA	2	Gene;antisense;
RF00034	RprA	RprA_RNA	4	Gene;sRNA;
RF00035	OxyS	OxyS_RNA	3	Gene;sRNA;
RF00036	RRE	HIV_Rev_response_element	5	Cis-reg;
RF00037	IRE	Iron_response_element	1	Cis-reg;
RF00038	PrfA	PrfA_thermoregulator_UTR	1	Cis-reg;thermoregulator;
RF00039	DicF	DicF_RNA	1	Gene;antisense;
RF00040	rne5	RNase_E_5'_UTR_element	5	Cis-reg;
RF00041	Entero_OriR	Enteroviral_3'_UTR_element	3	Cis-reg;
RF00042	CopA	CopA-like_RNA	2	Gene;antisense;
RF00043	Plasmid_R1162	R1162-like_plasmid_antisense_RNA	2	Gene;antisense;
RF00044	Phage_pRNA	Bacteriophage_pRNA	6	Gene;
RF00045	SNORA73	Small_nucleolar_RNA_SNORA73_family	3	Gene;snRNA;snoRNA;HACA-box;
RF00046	snoR30	Small_nucleolar_RNA_R30/Z108	1	Gene;snRNA;snoRNA;CD-box;
RF00047	mir-2	mir-2_microRNA_precursor	1	Gene;miRNA;
RF00048	Entero_CRE	Enterovirus_cis-acting_replication_element	1	Cis-reg;
RF00049	SNORD36	Small_nucleolar_RNA_SNORD36	1	Gene;snRNA;snoRNA;CD-box;
RF00050	FMN	FMN_riboswitch_(RFN_element)	4	Cis-reg;riboswitch;
RF00051	mir-17	mir-17_microRNA_precursor_family	1	Gene;miRNA;
RF00052	lin-4	lin-4_microRNA_precursor	1	Gene;miRNA;
RF00053	mir-7	mir-7_microRNA_precursor	1	Gene;miRNA;
RF00054	SNORD25	Small_nucleolar_RNA_SNORD25	1	Gene;snRNA;snoRNA;CD-box;
